NOME O,NOME A,NOME OS,NOME AS,PRÓPRIOS,Q POST,O ADJ POST,A ADJ POST,OS ADJ POST,AS ADJ POST,O ADJ PRE,A ADJ PRE,OS ADJ PRE,AS ADJ PRE,CATEGORIAS,ATORES,ATRIZES,AUTORES
Gato,Geração,Irmãos,Jornadas,Maristela,das Paixões,Grande,Grande,Grandes,Grandes,,,Seis,Seis,,Irandhir Santos,Elizabeth Savalla,
Gigante,Guardiã,Jogos,Justiças,Marli,das Índias,Herói,Heroína,Heróis,Heroínas,,,Dois,Duas,,Jayme Matarazzo,Eva Wilma,
Gosto,Harmonia,Lados,Leis,Morgana,de Amar,Honesto,Honesta,Honestos,Honestas,,,,,,Jesuíta Barbosa,Fernanda Lima,
Guardião,Ilusão,Limites,Liberdades,Nair,de Amor,Imperfeito,Imperfeita,Imperfeitos,Imperfeitas,,,,,,José Wilker,Fernanda Montenegro,
Homem,Irmã,Lugares,Luas,Natália,de Anjo,Impuro,Impura,Impuros,Impuras,,,,,,Kadu Moliterno,Fernanda Vasconcellos,
Império,Jogada,Mananciais,Luzes,Octavia,de Areia,Indomável,Indomável,Indomáveis,Indomáveis,,,,,,Lázaro Ramos,Flávia Alessandra,
Irmão,Jornada,Mapas,Mães,Odette,de Aço,Infinito,Infinita,Infinitos,Infinitas,,,,,,Luigi Baricelli,Gabriela Duarte,
Jogo,Justiça,Mares,Máscaras,Ophelia,de Chocolate,Insensato,Insensata,Insensatos,Insensatas,,,,,,Luís Melo,Giovanna Antonelli,
Lado,Lei,Mistérios,Mentiras,Pamela,de Chão,Intrigante,Intrigante,Intrigantes,Intrigantes,,,,,,Malvino Salvador,Giulia Gam,
Limite,Liberdade,Mundos,Mulheres,Pérola,de Esperança,Jovem,Jovem,Jovens,Jovens,,,,,,Marcello Antony,Glória Menezes,
Lugar,Lua,Negócios,Paixões,Rafaela,de Feras,Leal,Leal,Leais,Leais,,,,,,Marcello Novaes,Glória Pires,
Manancial,Luz,Nomes,Pedras,Safira,de Fogo,Legal,Legal,Legais,Legais,,,,,,Marcelo Serrado,Grazi Massafera,
Mapa,Mãe,Olhares,Pontes,Samara,de Gato,Louca,Louca,Loucos,Loucas,,,,,,Márcio Garcia,Guilherme Fontes,
Mar,Mandala,Pactos,Rainhas,Selene,de Inverno,Mágico,Mágica,Mágicos,Mágicas,,,,,,Marco Nanini,Helena Ranaldi,
Medo,Máscara,Pecados,Regras,Serafina,de Mulher,Majestoso,Majestosa,Majestosos,Majestosas,,,,,,Marco Pigossi,Ingrid Guimarães,
Mistério,Melodia,Poderes,Senhoras,Tainá,de Mãe,Maldito,Maldita,Malditos,Malditas,,,,,,Marcos Palmeira,Irene Ravache,
Mundo,Mentira,Portos,Sombras,Valentina,de Nascer,Mau,Má,Maus,Más,,,,,,Marcos Pasquim,Isabel Teixeira,
Negócio,Mulher,Privilégios,Sucessoras,Vilma,de Noiva,Moderno,Moderna,Modernos,Modernas,,,,,,Marcos Paulo,Isabelle Drummond,
Nome,Paixão,Reis,Tempestades,Yara,de Novo,Mortal,Mortal,Mortais,Mortais,,,,,,Mário Gomes,Isis Valverde,
Olhar,Pedra,Rivais,Terras,Zara,de Outono,Nascente,Nascente,Nascentes,Nascentes,,,,,,Mateus Solano,Jéssica Ellen,
Pacto,Ponte,Sabores,Valsas,Zélia,de Paixão,Novo,Nova,Novos,Novas,,,,,,Mauricio Destri,Julia Lemmertz,
Paraíso,Rainha,Segredos,Verdades,Zilda,de Paixões,Oculto,Oculta,Ocultos,Ocultas,,,,,,Murilo Benício,Juliana Paes,
Pecado,Regra,Senhores,Viagens,Zuleika,de Pedra,Oposto,Oposta,Opostos,Opostas,,,,,,Murilo Rosa,Juliana Paiva,
Poder,Sede,Silêncios,Vidas,,de Quem Ama,Paralelo,Paralela,Paralelos,Paralelas,,,,,,Osmar Prado,Karina Bacchi,
Porto,Senhora,Sonhos,Vinganças,,de Quem Chora,Passageiro,Passageira,Passageiros,Passageiras,,,,,,Paulo Goulart,Leandra Leal,
Privilégio,Sombra,Sons,Vítimas,,de Quem Se Apaixona,Pequeno,Pequena,Pequenos,Pequenas,,,,,,Paulo Vilhena,Letícia Colin,
Rei,Sucessora,Sorrisos,Vitórias,,de Quem Sofre,Perdido,Perdida,Perdidos,Perdidas,,,,,,Rafael Cardoso,Letícia Persiles,
Sabor,Tempestade,Sucessores,,,de Quem Vive,Perfeito,Perfeita,Perfeitos,Perfeitas,,,,,,Raul Cortez,Letícia Sabatella,
Sangue,Terra,Tempos,,,de um Amor,Preciosa,Preciosa,Preciosos,Preciosas,,,,,,Reginaldo Faria,Letícia Spiller,
Segredo,Valsa,Triunfos,,,de um Beijo,Proibido,Proibida,Proibidos,Proibidas,,,,,,Renato Góes,Lilia Cabral,
Senhor,Verdade,Venenos,,,de um Desejo,Puro,Pura,Puros,Puras,,,,,,Reynaldo Gianecchini,Lília Cabral,
Silêncio,Viagem,Amores,,,de um Dever,Rabugento,Rabugenta,Rabugentos,Rabugentas,,,,,,Ricardo Pereira,Maitê Proença,
Sol,Vida,Amores,,,de um Encanto,Radiante,Radiante,Radiantes,Radiantes,,,,,,Ricardo Tozzi,Malu Mader,
Som,Vingança,Amores,,,de um Gigante,Real,Real,Reais,Reais,,,,,,Rodrigo Hilbert,Maria Flor,
Sonho,Vítima,Amores,,,de um Homem,Rebelde,Rebelde,Rebeldes,Rebeldes,,,,,,Rodrigo Lombardi,Mariana Ximenes,
Sorriso,Vitória,Amores,,,de um Império,Resplandecente,Resplandecente,Resplandecentes,Resplandecentes,,,,,,Rodrigo Santoro,Marieta Severo,
Sucessor,,,,,de um Lugar Qualquer,Revelado,Revelada,Revelados,Reveladas,,,,,,Rômulo Estrela,Marina Ruy Barbosa,
Tempo,,,,,de um Olhar,Roubado,Roubada,Roubados,Roubadas,,,,,,Sandy,Marjorie Estiano,
Triunfo,,,,,de um Resgate,Sagrado,Sagrada,Sagrados,Sagradas,,,,,,Selton Mello,Milena Toscano,
Veneno,,,,,de um Segredo,Secreto,Secreta,Secretos,Secretas,,,,,,Sérgio Guizé,Nanda Costa,
Amor,,,,,de um Senhor,Selvagem,Selvagem,Selvagens,Selvagens,,,,,,Tarcísio Meira,Natália do Vale,
Amor,,,,,de um Sonho,Sensato,Sensata,Sensatos,Sensatas,,,,,,Thiago Fragoso,Nathalia Dill,
Amor,,,,,de um Triunfo,Sereno,Serena,Serenos,Serenas,,,,,,Thiago Lacerda,Nívea Maria,
Amor,,,,,de uma Atração,Simpático,Simpática,Simpáticos,Simpáticas,,,,,,Thiago Rodrigues,Nívea Stelmann,
Amor,,,,,de uma Jogada,Sincero,Sincera,Sinceros,Sinceras,,,,,,Tony Ramos,Paloma Duarte,
,,,,,de uma Manhã,Sonhador,Sonhadora,Sonhadores,Sonhadoras,,,,,,Vladimir Brichta,Paolla Oliveira,
,,,,,de uma Mentira,Trabalhador,Trabalhadora,Trabalhadores,Trabalhadoras,,,,,,Vladmir Brichta,Patricia Pillar,
,,,,,de uma Mulher,Traidor,Traidora,Traidores,Traidoras,,,,,,Wagner Moura,Priscila Fantin,
,,,,,de uma Noite,Triste,Triste,Tristes,Tristes,,,,,,,Regiane Alves,
,,,,,de uma Senhora,Tropical,Tropical,Tropicais,Tropicais,,,,,,,Regina Casé,
,,,,,de uma Separação,Velho,Velha,Velhos,Velhas,,,,,,,Regina Duarte,
,,,,,de uma Tempestade,Verdadeiro,Verdadeira,Verdadeiros,Verdadeiras,,,,,,,Renata Sorrah,
,,,,,de uma Viagem,Brega,Brega,,,,,,,,,Sílvia Pfeifer,
,,,,,de uma Vida,Chique,Chique,,,,,,,,,Sophie Charlotte,
,,,,,de Verão,,,,,,,,,,,Susana Vieira,
,,,,,de Vida,,,,,,,,,,,Taís Araújo,
,,,,,de Vingança,,,,,,,,,,,Tatá Werneck,
,,,,,de Viver,,,,,,,,,,,Vanessa Giácomo,
,,,,,do Amanhã,,,,,,,,,,,Vera Fischer,
,,,,,do Amor,,,,,,,,,,,Vitória Strada,
,,,,,do Bairro,,,,,,,,,,,Vivianne Pasmanter,
,,,,,do Brasil,,,,,,,,,,,,
,,,,,do Caminho,,,,,,,,,,,,
,,,,,do Campo,,,,,,,,,,,,
,,,,,do Charme,,,,,,,,,,,,
,,,,,do Coração,,,,,,,,,,,,
,,,,,do Céu,,,,,,,,,,,,
,,,,,do Desamor,,,,,,,,,,,,
,,,,,do Desejo,,,,,,,,,,,,
,,,,,do Destino,,,,,,,,,,,,
,,,,,do Futuro,,,,,,,,,,,,
,,,,,do Guardião,,,,,,,,,,,,
,,,,,do Horizonte,,,,,,,,,,,,
,,,,,do Jogo,,,,,,,,,,,,
,,,,,do Meu Sangue,,,,,,,,,,,,
,,,,,do Mundo,,,,,,,,,,,,
,,,,,do Ouro,,,,,,,,,,,,
,,,,,do Pai,,,,,,,,,,,,
,,,,,do Paraíso,,,,,,,,,,,,
,,,,,do Passado,,,,,,,,,,,,
,,,,,do Pecado,,,,,,,,,,,,
,,,,,do Poder,,,,,,,,,,,,
,,,,,do Privilégio,,,,,,,,,,,,
,,,,,do Que é Novo,,,,,,,,,,,,
,,,,,do Querer,,,,,,,,,,,,
,,,,,do Renascimento,,,,,,,,,,,,
,,,,,do Ritmo,,,,,,,,,,,,
,,,,,do Santo,,,,,,,,,,,,
,,,,,do Seu Destino,,,,,,,,,,,,
,,,,,do Tempo,,,,,,,,,,,,
,,,,,do Vampiro,,,,,,,,,,,,
,,,,,dos Amores,,,,,,,,,,,,
,,,,,dos Milagres,,,,,,,,,,,,
,,,,,dos Noivos,,,,,,,,,,,,
,,,,,dos Novos Tempos,,,,,,,,,,,,
,,,,,dos Sexos,,,,,,,,,,,,
,,,,,em Desencanto,,,,,,,,,,,,
,,,,,nas Nuvens,,,,,,,,,,,,
,,,,,no Ar,,,,,,,,,,,,
,,,,,no Caminho,,,,,,,,,,,,
,,,,,para o Amor,,,,,,,,,,,,
,,,,,para o Destino,,,,,,,,,,,,
,,,,,por Amor,,,,,,,,,,,,
,,,,,que Não Tem Fim,,,,,,,,,,,,
,,,,,sem Fim,,,,,,,,,,,,
,,,,,sob a Lua,,,,,,,,,,,,
,,,,,sob o Sol,,,,,,,,,,,,
,,,,,sob Pedra,,,,,,,,,,,,
,,,,,com Amor,,,,,,,,,,,,
,,,,,de Amar,,,,,,,,,,,,
,,,,,de Amor,,,,,,,,,,,,
,,,,,de um Amor,,,,,,,,,,,,
,,,,,de Vida,,,,,,,,,,,,
,,,,,do Amor,,,,,,,,,,,,
,,,,,de Quem Ama,,,,,,,,,,,,
,,,,,de Quem Vive,,,,,,,,,,,,
,,,,,de Viver,,,,,,,,,,,,
,,,,,com Amor,,,,,,,,,,,,
,,,,,de Amar,,,,,,,,,,,,
,,,,,de Amor,,,,,,,,,,,,
,,,,,de um Amor,,,,,,,,,,,,
,,,,,de Vida,,,,,,,,,,,,
,,,,,do Amor,,,,,,,,,,,,
,,,,,de Viver,,,,,,,,,,,,
,,,,,dos Amantes,,,,,,,,,,,,
,,,,,dos que Amam,,,,,,,,,,,,
